location,coralType,longitude,latitude,year,value
site05,blue corals,143.786,-13.107,2012,49.87%
site05,blue corals,143.786,-13.107,2013,50.02%
site05,blue corals,143.786,-13.107,2014,50.12%
site05,blue corals,143.786,-13.107,2015,51.23%
site05,blue corals,143.786,-13.107,2016,56.23%
site05,blue corals,143.786,-13.107,2017,57.23%
site05,sea fans,143.786,-13.107,2010,37.65%
site05,sea fans,143.786,-13.107,2011,38.99%
site05,sea fans,143.786,-13.107,2012,39.78%
site05,sea fans,143.786,-13.107,2013,40.10%
site05,sea fans,143.786,-13.107,2014,40.12%
site05,sea fans,143.786,-13.107,2015,42.23%
site05,sea fans,143.786,-13.107,2016,46.23%
site05,sea fans,143.786,-13.107,2017,48.34%
site05,sea pens,143.786,-13.107,2010,30.19%
site05,sea pens,143.786,-13.107,2011,34.67%
site05,sea pens,143.786,-13.107,2012,34.79%
site05,sea pens,143.786,-13.107,2013,35.12%
site05,sea pens,143.786,-13.107,2014,35.34%
site05,sea pens,143.786,-13.107,2015,36.10%
site05,sea pens,143.786,-13.107,2016,36.12%
site05,sea pens,143.786,-13.107,2017,37.23%
site05,soft corals,143.786,-13.107,2010,14.45%
site05,soft corals,143.786,-13.107,2012,28.45%
site05,soft corals,143.786,-13.107,2011,29.13%
site05,soft corals,143.786,-13.107,2013,30.23%
site05,soft corals,143.786,-13.107,2014,60.23%
site05,soft corals,143.786,-13.107,2015,76.23%
site05,soft corals,143.786,-13.107,2016,91.23%
site05,soft corals,143.786,-13.107,2017,94.23%
site06,blue corals,146.589,-17.981,2010,12.87%
site06,blue corals,146.589,-17.981,2011,13.65%
site06,blue corals,146.589,-17.981,2012,13.95%
site06,blue corals,146.589,-17.981,2013,15.97%
site06,blue corals,146.589,-17.981,2014,16.45%
site06,blue corals,146.589,-17.981,2015,17.87%
site06,blue corals,146.589,-17.981,2016,18.45%
site06,blue corals,146.589,-17.981,2017,20.56%
site06,sea fans,146.589,-17.981,2010,40.21%
site06,sea fans,146.589,-17.981,2011,41.37%
site06,sea fans,146.589,-17.981,2012,50.34%
site06,sea fans,146.589,-17.981,2013,55.37%
site06,sea fans,146.589,-17.981,2014,58.34%
site06,sea fans,146.589,-17.981,2015,60.75%
site06,sea fans,146.589,-17.981,2016,75.64%
site06,sea fans,146.589,-17.981,2017,86.45%
site06,sea pens,146.589,-17.981,2010,47.98%
site06,sea pens,146.589,-17.981,2011,49.01%
site06,sea pens,146.589,-17.981,2012,49.11%
site06,sea pens,146.589,-17.981,2013,50.23%
site06,sea pens,146.589,-17.981,2014,52.56%
site06,sea pens,146.589,-17.981,2015,59.23%
site06,sea pens,146.589,-17.981,2016,60.34%
site06,sea pens,146.589,-17.981,2017,67.87%
site07,blue corals,145.043,-14.383,2013,46.96%
site07,blue corals,145.043,-14.383,2012,45.67%
site07,blue corals,145.043,-14.383,2010,45.99%
site07,blue corals,145.043,-14.383,2011,46.78%
site07,blue corals,145.043,-14.383,2014,47.32%
site07,blue corals,145.043,-14.383,2015,48.12%
site07,blue corals,145.043,-14.383,2016,48.89%
site07,blue corals,145.043,-14.383,2017,49.21%
site07,hard corals,145.043,-14.383,2012,14.99%
site07,hard corals,145.043,-14.383,2011,15.03%
site07,hard corals,145.043,-14.383,2013,15.45%
site07,hard corals,145.043,-14.383,2014,16.89%
site07,hard corals,145.043,-14.383,2015,18.23%
site07,hard corals,145.043,-14.383,2016,25.76%
site07,hard corals,145.043,-14.383,2017,32.12%
site07,sea pens,145.043,-14.383,2010,25.56%
site07,sea pens,145.043,-14.383,2011,30.10%
site07,sea pens,145.043,-14.383,2012,30.35%
site07,sea pens,145.043,-14.383,2013,32.48%
site07,sea pens,145.043,-14.383,2014,34.67%
site07,sea pens,145.043,-14.383,2015,36.78%
site07,sea pens,145.043,-14.383,2016,38.34%
site07,sea pens,145.043,-14.383,2017,40.12%
site07,soft corals,145.043,-14.383,2011,39.98%
site07,soft corals,145.043,-14.383,2012,40.12%
site07,soft corals,145.043,-14.383,2010,40.34%
site07,soft corals,145.043,-14.383,2013,55.12%
site07,soft corals,145.043,-14.383,2014,56.45%
site07,soft corals,145.043,-14.383,2015,58.76%
site07,soft corals,145.043,-14.383,2016,60.78%
site07,soft corals,145.043,-14.383,2017,67.89%
site08,blue corals,145.715,-16.091,2013,39.93%
site08,blue corals,145.715,-16.091,2014,40.78%
site08,blue corals,145.715,-16.091,2015,40.98%
site08,blue corals,145.715,-16.091,2016,43.21%
site08,blue corals,145.715,-16.091,2017,45.32%
site08,hard corals,145.715,-16.091,2012,13.10%
site08,hard corals,145.715,-16.091,2013,13.84%
site08,hard corals,145.715,-16.091,2015,14.56%
site08,hard corals,145.715,-16.091,2016,15.56%
site08,hard corals,145.715,-16.091,2017,20.45%
site08,hard corals,145.715,-16.091,2014,14.88%
site08,sea fans,145.715,-16.091,2012,32.45%
site08,sea fans,145.715,-16.091,2013,38.66%
site08,sea fans,145.715,-16.091,2014,39.84%
site08,sea fans,145.715,-16.091,2015,40.89%
site08,sea fans,145.715,-16.091,2016,45.32%
site08,sea fans,145.715,-16.091,2017,48.23%
site08,sea pens,145.715,-16.091,2012,3.71%
site08,sea pens,145.715,-16.091,2013,3.89%
site08,sea pens,145.715,-16.091,2014,4.19%
site08,sea pens,145.715,-16.091,2015,4.34%
site08,sea pens,145.715,-16.091,2016,10.45%
site08,sea pens,145.715,-16.091,2017,39.00%
site08,soft corals,145.715,-16.091,2013,58.89%
site08,soft corals,145.715,-16.091,2014,60.03%
site08,soft corals,145.715,-16.091,2015,60.12%
site08,soft corals,145.715,-16.091,2016,63.21%
site08,soft corals,145.715,-16.091,2017,65.23%
